,long,lat,elev,rt_num,class,intensity,geometry,cluster_label
79084,83180.156,439690.31,5727,1,6,190,POINT (4.342712714964871 51.941024595686045),5
79085,83180.217,439690.662,5843,1,6,159,POINT (4.342713528388479 51.94102776699432),5
79086,83180.277,439690.995,5937,1,6,205,POINT (4.342714331242443 51.94103076742016),5
79087,83180.333,439691.317,6039,1,6,193,POINT (4.342715078232029 51.94103366847211),5
79088,83178.1,439676.576,494,1,6,304,POINT (4.342685689480196 51.94090090246195),6
79089,83178.165,439676.909,478,1,6,201,POINT (4.34268656503433 51.940903903533936),6
79090,83178.229,439677.201,335,1,6,221,POINT (4.342687434617207 51.9409065360092),6
79118,83179.491,439684.016,1263,2,6,236,POINT (4.342704360777023 51.94096794552506),5
79119,83179.558,439684.326,1138,1,6,230,POINT (4.3427052702226145 51.94097074015395),5
79120,83179.617,439684.648,1173,1,6,202,POINT (4.342706060833254 51.940973641593565),5
79121,83179.686,439685.002,1172,1,6,177,POINT (4.342706990164449 51.94097683190931),5
79122,83179.752,439685.345,1182,1,6,234,POINT (4.342707878172247 51.940979922980425),5
79123,83179.816,439685.675,1175,1,6,224,POINT (4.342708739815518 51.94098289696197),5
79124,83179.88,439686.01,1180,1,6,243,POINT (4.342709600413864 51.9409859158786),5
79125,83179.828,439686.841,4892,1,6,233,POINT (4.34270867060287 51.94099337736889),5
79126,83179.937,439686.369,1398,2,6,22,POINT (4.342710354210016 51.94098914957928),5
79127,83179.885,439687.155,4948,1,6,175,POINT (4.3427094338044245 51.940996206654),5
79128,83179.945,439687.497,5048,1,6,146,POINT (4.342710234776497 51.94099928796297),5
79129,83180.007,439687.848,5155,1,6,184,POINT (4.342711062949372 51.94100245041346),5
79130,83180.072,439688.212,5256,1,6,177,POINT (4.342711932027908 51.94100573008261),5
79131,83180.129,439688.54,5357,1,6,181,POINT (4.342712692303772 51.94100868518585),5
79132,83180.193,439688.9,5448,1,6,174,POINT (4.342713547677691 51.941011928777755),5
79133,83180.249,439689.224,5563,1,6,177,POINT (4.342714294248909 51.94101484780377),5
79134,83180.308,439689.556,5652,1,6,172,POINT (4.34271508277082 51.94101783911342),5
79135,83180.365,439689.878,5751,1,6,214,POINT (4.3427158443011304 51.94102074029453),5
79136,83180.429,439690.246,5872,1,6,160,POINT (4.342716698003448 51.941024055782556),5
79137,83180.491,439690.591,5952,1,6,181,POINT (4.342717527431261 51.94102716431085),5
79138,83180.55,439690.936,6069,1,6,178,POINT (4.342718313236519 51.94103027245163),5
79139,83180.611,439691.282,6186,1,6,147,POINT (4.342719127914659 51.9410333898378),5
79140,83180.671,439691.616,6269,1,6,181,POINT (4.3427199305600865 51.941036399250585),5
79141,83178.315,439676.509,519,1,6,227,POINT (4.342688829766035 51.94090032810586),6
79142,83178.377,439676.825,502,1,6,212,POINT (4.342689665251014 51.94090317601106),6
79143,83178.451,439677.154,329,1,6,243,POINT (4.34269067250914 51.94090614229757),6
79176,83179.774,439684.271,1182,1,6,104,POINT (4.342708422545873 51.94097027377066),5
79177,83179.839,439684.603,1173,1,6,217,POINT (4.3427092983118545 51.94097326585543),5
79178,83179.899,439684.916,1179,1,6,206,POINT (4.342710105344738 51.94097608654106),5
79179,83179.962,439685.245,1176,1,6,202,POINT (4.342710952656219 51.940979051406416),5
79180,83180.026,439685.578,1179,1,6,236,POINT (4.342711813672657 51.94098205234902),5
79181,83180.095,439685.934,1179,1,6,205,POINT (4.342712742586418 51.940985260638776),5
79182,83180.148,439686.276,1406,1,6,68,POINT (4.3427134417724025 51.940988341043486),5
79183,83180.102,439687.125,5071,1,6,202,POINT (4.342712595445128 51.9409959650751),5
79184,83180.16,439687.454,5172,1,6,180,POINT (4.342713370052747 51.94099892929457),5
79185,83180.221,439687.787,5243,1,6,179,POINT (4.342714187447081 51.941001929849584),5
79186,83180.277,439688.115,5360,1,6,159,POINT (4.34271493318215 51.94100488482365),5
79187,83180.341,439688.473,5448,1,6,200,POINT (4.342715788974174 51.94100811044151),5
79188,83180.402,439688.821,5553,1,6,198,POINT (4.3427166032337325 51.94101124580172),5
79189,83180.462,439689.158,5659,1,6,207,POINT (4.342717405251591 51.9410142821756),5
79190,83180.523,439689.506,5751,1,6,202,POINT (4.342718219511372 51.94101741753577),5
79191,83180.584,439689.843,5832,1,6,147,POINT (4.342719036070332 51.94102045403877),5
79192,83180.639,439690.175,5994,1,6,98,POINT (4.342719766429109 51.94102344483173),5
79193,83180.698,439690.509,6064,1,6,209,POINT (4.342720554533524 51.94102645411536),5
79194,83180.76,439690.855,6162,1,6,154,POINT (4.342721383752639 51.94102957163065),5
79195,83180.822,439691.207,6272,1,6,192,POINT (4.342722211717837 51.94103274306803),5
79196,83180.88,439691.541,6380,1,6,140,POINT (4.342722985281681 51.94103575222249),5
